ап1.1,before vertices,before bb size,before bb position,before posture,after vertices,after bb size,after bb position,after posture,ап1.10
335.off: Mech,14995,2.10804,0.0836588,0.982973,14995,1.57539,0.0543891,1, 
336.off: Mech,15505,1.8843,0.259093,0.753194,15505,1.49371,0.157932,1, 
337.off: Mech,11533,2.705,0.0573155,0.997526,11533,1.52966,0.0305891,1, 
338.off: Mech,19403,2.22508,0.157037,0.948509,19403,1.62671,0.0310724,1, 
339.off: Mech,15000,2.15548,0.138837,0.910825,15000,1.5954,0.0861576,1, 
340.off: Mech,14997,2.07842,0.0368783,0.999468,14997,1.56872,0.0270733,1, 
341.off: Bearing,5566,1.69564,0.230373,0.969131,5566,1.09012,0.00526443,1, 
342.off: Bearing,5566,2.10037,0.0100602,0.969593,5566,1.09013,0.00526439,1, 
343.off: Bearing,5566,2.02328,0.0812823,0.993415,5566,1.08999,0.0473512,1, 
344.off: Bearing,3182,1.43178,0.212552,0.961076,3182,1.16856,0.0799603,1, 
345.off: Bearing,3614,1.4329,0.208598,0.817857,3614,1.17116,0.102966,1, 
346.off: Bearing,3587,1.4338,0.20785,0.713351,3587,1.17373,0.108439,1, 
347.off: Bearing,2623,2.06241,0.0293555,0.990346,2623,1.13059,0.0621925,1, 
348.off: Bearing,2568,1.03148,0.793678,0.767758,2568,1.02333,0.121659,1, 
349.off: Bearing,2568,1.79565,0.120289,0.967323,2568,1.02375,0.0477423,1, 
350.off: Bearing,8759,1.89804,0.0704168,0.770846,8759,1.02319,0.037946,1, 
351.off: Bearing,5192,1.98507,0.0702936,0.999775,5192,1.07801,0.0380794,1, 
352.off: Bearing,10400,1.75699,0.178332,0.999841,10400,1.07807,0.10941,1, 
353.off: Bearing,4818,1.97035,0.0751665,1,4818,1.04263,0.0279348,1, 
354.off: Bearing,2910,1.31248,0.386328,0.973853,2910,1.07731,0.127039,1, 
355.off: Bearing,14994,2.0199,0.00130183,0.995141,14994,1.01545,0.000304713,1, 
356.off: Bearing,14992,2.02003,0.0012714,0.995765,14992,1.01547,0.000279275,1, 
357.off: Bearing,14872,1.99211,0.00405326,1,14872,1.01144,0.00205302,1, 
358.off: Bearing,14127,1.83115,0.37643,0.880891,14127,1.46962,0.301692,1, 
359.off: Bearing,14956,1.83692,0.374436,0.992075,14956,1.46298,0.298083,1, 
360.off: Bearing,2200,0.198893,0.90411,0.997705,2200,1.03821,0.00350764,1, 
361.off: Vase,14859,2.42585,0.0302536,0.980125,14859,1.23184,0.0186696,1, 
362.off: Vase,14476,1.93849,0.174239,0.982421,14476,1.23488,0.106029,1, 
363.off: Vase,13434,1.85743,0.17338,0.788175,13434,1.1256,0.103582,1, 
364.off: Vase,13548,2.32704,0.0359711,0.999842,13548,1.40624,0.0235148,1, 
365.off: Vase,13514,2.75018,0.0487295,0.981979,13514,1.58209,0.049329,1, 
366.off: Vase,10637,2.26393,0.0630425,0.772887,10637,1.24214,0.0339736,1, 
367.off: Vase,3900,2.39199,0.0635562,0.999756,3900,1.29239,0.0346938,1, 
368.off: Vase,11202,2.11116,0.119302,0.960936,11202,1.37666,0.0885585,1, 
369.off: Vase,13606,2.38092,0.0817587,0.94704,13606,1.34864,0.036682,1, 
370.off: Vase,13920,2.41153,0.0757501,0.853778,13920,1.31956,0.0405248,1, 
371.off: Vase,14599,2.36463,0.12212,0.967791,14599,1.36852,0.0691292,1, 
372.off: Vase,6684,2.04028,0.108307,0.970917,6684,1.48639,0.0999443,1, 
373.off: Vase,10556,2.20359,0.0573295,0.997902,10556,1.16569,0.0305616,1, 
374.off: Vase,14872,2.15415,0.0216683,0.716446,14872,1.11726,0.0161353,1, 
375.off: Vase,11762,2.28604,0.0562669,0.968759,11762,1.21188,0.0343629,1, 
376.off: Vase,12568,2.64632,0.0907525,0.999129,12568,1.32767,0.045013,1, 
377.off: Vase,15169,2.07263,0.168202,0.999396,15169,1.24635,0.101292,1, 
378.off: Vase,6684,2.02935,0.116708,0.971042,6684,1.4804,0.100779,1, 
379.off: Vase,6923,2.37396,0.0815081,0.999857,6923,1.29066,0.0449177,1, 
380.off: Vase,9356,2.14027,0.201432,0.999968,9356,1.33993,0.125937,1, 
381.off: Fourleg,6938,2.03103,0.16741,0.966535,6938,1.25582,0.0908741,1, 
382.off: Fourleg,8078,2.12801,0.0979486,0.990085,8078,1.23689,0.0990079,1, 
383.off: Fourleg,13331,2.10765,0.111149,0.999933,13331,1.18639,0.0514872,1, 
384.off: Fourleg,4712,2.32069,0.129559,0.999999,4712,1.16102,0.0818728,1, 
385.off: Fourleg,10436,2.26301,0.118475,0.934319,10436,1.25244,0.0929891,1, 
386.off: Fourleg,2087,2.32482,0.0872394,0.98765,2087,1.48489,0.0734249,1, 
387.off: Fourleg,14680,2.26278,0.1063,0.845876,14680,1.23379,0.077231,1, 
388.off: Fourleg,8411,2.23237,0.107625,0.989751,8411,1.23373,0.0694421,1, 
389.off: Fourleg,9490,2.17018,0.0166917,0.999933,9490,1.24988,0.0218755,1, 
390.off: Fourleg,9239,2.05287,0.108711,0.999999,9239,1.1486,0.0707171,1, 
391.off: Fourleg,4315,2.03774,0.0716592,0.999671,4315,1.22654,0.031835,1, 
392.off: Fourleg,8618,2.19284,0.107711,0.99924,8618,1.19322,0.0671474,1, 
393.off: Fourleg,9757,2.05279,0.0517452,1,9757,1.22682,0.0357493,1, 
394.off: Fourleg,9009,2.03287,0.0703604,0.996932,9009,1.36401,0.0293919,1, 
395.off: Fourleg,11312,2.36528,0.143226,0.950957,11312,1.22647,0.08174,1, 
396.off: Fourleg,5538,2.17274,0.0393688,0.907715,5538,1.23442,0.0922717,1, 
397.off: Fourleg,7268,2.10171,0.0663589,0.999998,7268,1.27711,0.1118,1, 
398.off: Fourleg,5312,1.72348,0.283835,0.909586,5312,1.1955,0.0753906,1, 
399.off: Fourleg,3911,2.19122,0.100469,0.997682,3911,1.31261,0.0865217,1, 
400.off: Fourleg,3703,2.03574,0.202649,0.999999,3703,1.22435,0.0893254,1, 
Standard deviation,5808.805751,0.283953904,0.091155688,0.124509068,5808.805751,0.153668679,0.056555509,0,
AVERAGE,10301.17105,2.193630587,0.12411004,0.929568771,10301.17105,1.294472289,0.071371601,1,
