Category,A,B,C,D,E,F,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,G,G.1,G.2,G.3,G.4,G.5,G.6,G.7,G.8,G.9,H,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,I,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,J,J.1,J.2,J.3,J.4,J.5,J.6,J.7,J.8,J.9,Selected,No,t-SNE-x,t-SNE-y
Ant,-0.707316887,-0.301172878,-0.545459809,-0.575793304,-0.128723632,0.997667,0.00133333,0.000666667,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0243333,0.069,0.109,0.144,0.162667,0.139,0.131667,0.0956667,0.079,0.0456667,0.062,0.178667,0.197667,0.170667,0.131667,0.104333,0.0716667,0.0486667,0.0236667,0.011,0.017,0.0956667,0.173667,0.233333,0.203333,0.144667,0.083,0.035,0.012,0.00233333,0.00733333,0.0456667,0.181333,0.224,0.0456667,0.0856667,0.244667,0.139333,0.024,0.00233333,No,92,4.5014382646325455,-3.198672989699885
Ant,-0.441727538,-0.321779931,-0.449675409,-0.519327884,-0.293141001,0.949667,0.0353333,0.008,0.00233333,0.00166667,0.000333333,0.000666667,0.001,0.000333333,0.000666667,0.0196667,0.0783333,0.096,0.114333,0.122667,0.124667,0.128667,0.150333,0.113,0.0523333,0.0396667,0.125,0.158,0.170333,0.158,0.149667,0.0876667,0.0666667,0.0356667,0.00933333,0.0293333,0.111333,0.184333,0.220667,0.186,0.139333,0.0733333,0.037,0.014,0.00466667,0.013,0.077,0.221,0.181333,0.019,0.185,0.209,0.08,0.0133333,0.00133333,No,93,4.6846718988467195,-8.147643126495709
Ant,-0.602004256,0.086011707,-0.584043223,-0.725643842,0.172547632,0.981667,0.0126667,0.00266667,0.000333333,0.00133333,0.000333333,0.000333333,0.000333333,0.0,0.000333333,0.0393333,0.116,0.110333,0.131667,0.151333,0.140333,0.13,0.115333,0.0406667,0.025,0.0563333,0.150667,0.172,0.184333,0.175667,0.125667,0.077,0.0416667,0.0126667,0.004,0.0293333,0.144667,0.223667,0.228,0.164,0.107333,0.0623333,0.026,0.0113333,0.00333333,0.00333333,0.0393333,0.172333,0.242333,0.0486667,0.110667,0.246667,0.117333,0.016,0.00333333,No,94,5.719092262360655,-4.291746815319865
Ant,-0.563221496,-0.314230513,-0.486449252,-0.510768646,0.200992287,0.983,0.0136667,0.00266667,0.0,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.0186667,0.0933333,0.106667,0.134667,0.14,0.16,0.140333,0.112667,0.0566667,0.037,0.044,0.145667,0.198,0.183333,0.150667,0.122,0.0753333,0.052,0.0216667,0.00733333,0.0306667,0.13,0.219333,0.227,0.182667,0.116667,0.0573333,0.0246667,0.00833333,0.00333333,0.00633333,0.0486667,0.16,0.206333,0.077,0.0236667,0.166333,0.206667,0.0903333,0.0146667,No,95,4.416818970483859,-1.362649024006929
Ant,-0.481781211,0.059492906,-0.52972936,-0.327064406,0.304559882,0.966333,0.0246667,0.00466667,0.00233333,0.000333333,0.000333333,0.0,0.001,0.0,0.000333333,0.0223333,0.128333,0.133,0.119333,0.156667,0.139,0.124,0.0916667,0.066,0.0196667,0.0463333,0.144667,0.183333,0.191,0.164333,0.126667,0.0806667,0.0423333,0.017,0.00366667,0.0393333,0.154,0.237333,0.239667,0.160333,0.0876667,0.049,0.024,0.00766667,0.001,0.001,0.0213333,0.12,0.216,0.132,0.0176667,0.137333,0.228333,0.108,0.0183333,No,96,5.444991293783804,-0.9399308626504224
Ant,-0.46221078,0.036088029,-0.500361224,-0.193438095,0.142519759,0.975,0.0176667,0.00233333,0.00166667,0.00133333,0.000333333,0.000666667,0.000666667,0.0,0.000333333,0.0146667,0.110667,0.143667,0.134667,0.159333,0.181667,0.13,0.059,0.047,0.0193333,0.0566667,0.168333,0.203333,0.206333,0.162667,0.104,0.0566667,0.026,0.0133333,0.00266667,0.0356667,0.139667,0.213333,0.234,0.178,0.109333,0.057,0.0226667,0.00833333,0.002,0.0296667,0.128333,0.193,0.136667,0.0183333,0.063,0.177667,0.165667,0.076,0.0116667,No,97,2.064851299270062,1.8074786571895045
Ant,-0.665968894,-0.363412364,-0.512730786,-0.649888199,-0.235360828,0.995,0.004,0.000333333,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0906667,0.0863333,0.111,0.14,0.158333,0.133667,0.103333,0.0786667,0.0653333,0.0326667,0.0556667,0.192,0.213333,0.191,0.128667,0.0993333,0.0633333,0.034,0.019,0.00366667,0.02,0.0953333,0.174667,0.228333,0.197,0.151333,0.0743333,0.037,0.0183333,0.00366667,0.00566667,0.0443333,0.161333,0.231667,0.0586667,0.0776667,0.241,0.145667,0.0313333,0.00266667,No,98,4.720870881395768,-2.9652294372403087
Ant,-0.587439071,0.066339505,-0.566702683,-0.549221342,-0.322079504,0.922333,0.0556667,0.0133333,0.00433333,0.00133333,0.000333333,0.001,0.001,0.000333333,0.000333333,0.0236667,0.105,0.126333,0.126667,0.141,0.152,0.152,0.112333,0.0356667,0.0253333,0.054,0.154,0.188,0.199,0.166667,0.105333,0.077,0.0426667,0.0113333,0.002,0.0306667,0.129667,0.207,0.211333,0.187333,0.115667,0.0636667,0.036,0.0146667,0.004,0.00566667,0.0593333,0.146333,0.216667,0.0563333,0.110667,0.237,0.132,0.032,0.004,No,99,4.4256833840722205,-7.393215923297138
Ant,-0.455878447,0.050823686,-0.502557289,-0.638262966,-0.556619848,0.992333,0.006,0.00133333,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.054,0.110333,0.117667,0.155667,0.184,0.162,0.0913333,0.066,0.0406667,0.0183333,0.0453333,0.129333,0.209667,0.220333,0.148667,0.106,0.0756667,0.0403333,0.017,0.00766667,0.0263333,0.116333,0.207667,0.242333,0.198333,0.114333,0.066,0.021,0.00566667,0.002,0.00766667,0.0353333,0.138667,0.217667,0.0883333,0.0423333,0.204667,0.200667,0.0546667,0.01,No,100,4.271638186888122,-1.7309676169332782
Chair,-0.59669825,1.251507302,-0.625462464,0.028846591,-0.588587283,0.956667,0.0336667,0.00466667,0.00233333,0.00133333,0.000666667,0.000333333,0.0,0.0,0.000333333,0.0373333,0.115,0.147,0.144667,0.123667,0.125,0.109667,0.0883333,0.082,0.0273333,0.0703333,0.129,0.15,0.184667,0.175667,0.158,0.0823333,0.0326667,0.0116667,0.00566667,0.032,0.11,0.159667,0.182333,0.185,0.164,0.0953333,0.0513333,0.017,0.00333333,0.00333333,0.038,0.129,0.200667,0.120667,0.0323333,0.183667,0.184,0.0883333,0.02,No,101,-2.135146670055356,-5.617297598789713
Chair,-0.100174769,1.000368942,-0.480687476,-0.054574041,-0.677479373,0.978667,0.017,0.000666667,0.00233333,0.0,0.000333333,0.000333333,0.0,0.000333333,0.000333333,0.0166667,0.0526667,0.082,0.151333,0.187333,0.142,0.122,0.0893333,0.0883333,0.0683333,0.043,0.126333,0.157333,0.228667,0.193,0.135,0.0676667,0.0323333,0.0113333,0.00533333,0.0113333,0.0733333,0.148,0.189,0.207667,0.176333,0.112,0.0523333,0.022,0.008,0.00533333,0.052,0.157333,0.196667,0.0836667,0.0326667,0.181333,0.192333,0.084,0.0146667,No,102,-3.547513376848231,-5.018911544918358
Chair,-0.454650833,0.488649564,-0.551855647,0.185212369,-0.686590377,0.994,0.00466667,0.000333333,0.0,0.0,0.000666667,0.0,0.0,0.0,0.000333333,0.043,0.0826667,0.123333,0.185333,0.143333,0.11,0.096,0.104333,0.0843333,0.0276667,0.062,0.119,0.162,0.21,0.204,0.144,0.052,0.026,0.016,0.005,0.0306667,0.125667,0.163,0.203667,0.203,0.154333,0.0773333,0.031,0.00966667,0.00166667,0.0103333,0.062,0.162333,0.197333,0.0676667,0.06,0.205333,0.164,0.061,0.01,No,103,-2.6051012993034743,-4.492721249593271
Chair,-0.540137913,1.923503005,-0.628020622,-0.055979289,-0.621840659,0.999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.034,0.0753333,0.155,0.159,0.135,0.0923333,0.107667,0.115667,0.094,0.032,0.0643333,0.121,0.168667,0.237333,0.218667,0.0996667,0.0383333,0.0273333,0.0186667,0.006,0.0353333,0.109667,0.160667,0.185,0.199667,0.156,0.0943333,0.0433333,0.014,0.002,0.0123333,0.0606667,0.158667,0.173333,0.0866667,0.037,0.176,0.177,0.0943333,0.024,No,104,-3.1468012153692086,-5.111872175425872
Chair,-0.489809266,2.196216895,-0.623578088,-0.048953049,-0.614091124,0.983333,0.013,0.002,0.000333333,0.000333333,0.000333333,0.000333333,0.0,0.0,0.000333333,0.0373333,0.086,0.164667,0.181333,0.122667,0.092,0.105,0.11,0.0736667,0.0273333,0.0636667,0.129,0.175,0.216667,0.198667,0.105667,0.045,0.0336667,0.0233333,0.00933333,0.0273333,0.0996667,0.157,0.189333,0.207,0.154667,0.096,0.048,0.0156667,0.00533333,0.0126667,0.0633333,0.16,0.197667,0.062,0.0563333,0.194333,0.166667,0.0696667,0.0173333,No,105,-2.7199474681241425,-4.960652470024665
Chair,0.031480647,1.39067216,-0.484657491,0.590051547,-0.73125357,0.973333,0.021,0.00333333,0.001,0.000666667,0.000333333,0.0,0.0,0.0,0.000333333,0.0233333,0.059,0.097,0.13,0.142667,0.189,0.189,0.103,0.0466667,0.0203333,0.047,0.0906667,0.139667,0.201,0.212667,0.158,0.0976667,0.0336667,0.0143333,0.00533333,0.0206667,0.0883333,0.137333,0.188667,0.188,0.178667,0.122667,0.051,0.019,0.00566667,0.0216667,0.091,0.185333,0.18,0.035,0.0936667,0.193,0.141667,0.054,0.00466667,No,106,-3.83358923657587,-3.714860051546026
Chair,-0.117050068,0.916023954,-0.466745226,0.019137604,-0.645231607,0.826333,0.127,0.0246667,0.011,0.004,0.003,0.00166667,0.000666667,0.000666667,0.001,0.019,0.0836667,0.138,0.142667,0.177333,0.143,0.0853333,0.084,0.0923333,0.0346667,0.048,0.113,0.173667,0.214333,0.206,0.135,0.063,0.0273333,0.0116667,0.008,0.0196667,0.085,0.154,0.191667,0.194333,0.169667,0.112333,0.041,0.0273333,0.005,0.013,0.0826667,0.164667,0.184333,0.05,0.0676667,0.196333,0.158333,0.0723333,0.0106667,No,107,-0.06912479543713008,-9.842147513587873
Chair,-0.164165153,0.827024894,-0.475862546,0.083140264,-0.648715653,0.896,0.0756667,0.0173333,0.00333333,0.003,0.00166667,0.000333333,0.000333333,0.00166667,0.000666667,0.018,0.076,0.127667,0.163333,0.163,0.155333,0.0933333,0.0806667,0.084,0.0386667,0.0473333,0.121333,0.158,0.224667,0.202,0.135667,0.06,0.0316667,0.0126667,0.00666667,0.026,0.0913333,0.161333,0.189,0.192,0.172,0.1,0.046,0.0193333,0.003,0.006,0.0436667,0.153,0.193,0.107,0.027,0.156,0.195333,0.0983333,0.0206667,No,108,0.4017256371227062,-8.335170890979322
Chair,-0.518695049,0.415233578,-0.577451467,0.585963552,-0.717274293,0.968667,0.021,0.004,0.003,0.00133333,0.0,0.000666667,0.0,0.001,0.000333333,0.0403333,0.102667,0.178,0.195,0.129333,0.128,0.115667,0.0663333,0.028,0.0166667,0.0576667,0.126,0.160667,0.210333,0.205667,0.132333,0.062,0.024,0.0136667,0.00766667,0.039,0.123333,0.18,0.190333,0.181333,0.145667,0.0813333,0.0356667,0.017,0.00633333,0.00733333,0.047,0.151667,0.214,0.0816667,0.0846667,0.205333,0.152667,0.05,0.00566667,No,109,-1.1577601933265862,-5.353469546186586
Chair,-0.617795885,1.358416473,-0.628941793,-0.1190877,-0.546195306,0.889667,0.0776667,0.0193333,0.00733333,0.002,0.00133333,0.00133333,0.000333333,0.000666667,0.000333333,0.0333333,0.0996667,0.153333,0.165333,0.119667,0.135333,0.115667,0.096,0.0606667,0.021,0.06,0.123667,0.188,0.213333,0.190333,0.110333,0.0526667,0.0316667,0.0223333,0.00766667,0.0263333,0.0996667,0.155333,0.196333,0.184333,0.179,0.0896667,0.0476667,0.0183333,0.00333333,0.008,0.0706667,0.172333,0.205333,0.0566667,0.0813333,0.209,0.144667,0.047,0.005,No,110,0.4273713026440214,-8.2409545058181
Chair,-0.650043855,1.18663275,-0.632095007,-0.117937952,-0.555312605,0.990333,0.008,0.001,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.023,0.0903333,0.146667,0.181667,0.116,0.137,0.108333,0.103667,0.0653333,0.028,0.071,0.142333,0.185667,0.230333,0.188,0.0853333,0.0466667,0.032,0.0143333,0.00433333,0.0273333,0.0883333,0.138667,0.197333,0.197333,0.172333,0.103667,0.049,0.0206667,0.00533333,0.0243333,0.095,0.172333,0.161667,0.0433333,0.0606667,0.180333,0.177,0.069,0.0163333,No,111,-3.0307587258356015,-4.650286583564157
Chair,-0.264006769,0.767557676,-0.519953042,0.494111432,-0.706590238,0.960333,0.027,0.00733333,0.002,0.00133333,0.000333333,0.000666667,0.0,0.000666667,0.000333333,0.0353333,0.0653333,0.120667,0.164,0.158,0.162667,0.119667,0.101333,0.0486667,0.0243333,0.0593333,0.133667,0.159,0.219667,0.203667,0.133,0.057,0.0196667,0.0123333,0.00266667,0.0143333,0.09,0.163,0.211,0.199667,0.169667,0.0973333,0.036,0.0136667,0.00533333,0.014,0.0743333,0.175,0.194667,0.044,0.0916667,0.211333,0.138333,0.05,0.00666667,No,112,-1.5432835143656916,-5.046257742226719
Chair,-0.398858194,1.358914163,-0.585275727,-0.216177563,-0.651246864,0.999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.045,0.0966667,0.137667,0.214667,0.167,0.127667,0.125667,0.0406667,0.0256667,0.0193333,0.0603333,0.110333,0.169333,0.219333,0.214,0.133,0.0503333,0.023,0.016,0.00433333,0.023,0.0886667,0.164,0.208667,0.199333,0.166333,0.0893333,0.0406667,0.0143333,0.00566667,0.00866667,0.0536667,0.168,0.195,0.0686667,0.0566667,0.202,0.176333,0.063,0.008,No,113,-2.6931365333849153,-4.110899292103249
Chair,-0.924520237,0.44880747,-0.684923277,-0.139655421,-0.652658203,0.984667,0.0113333,0.00233333,0.000666667,0.0,0.000333333,0.000333333,0.0,0.0,0.000333333,0.072,0.194333,0.244333,0.135333,0.0913333,0.119,0.0556667,0.0283333,0.0363333,0.0233333,0.0783333,0.164667,0.189,0.225333,0.152333,0.092,0.056,0.022,0.016,0.00433333,0.0413333,0.148,0.205333,0.198667,0.170333,0.119667,0.0733333,0.0303333,0.01,0.003,0.00433333,0.0346667,0.115333,0.208333,0.141667,0.0453333,0.202667,0.169,0.0636667,0.015,No,114,8.028659094501977,-0.621439979674336
Chair,-0.472326597,1.183404492,-0.59763193,-0.214516815,-0.650484306,0.947667,0.0356667,0.011,0.00233333,0.002,0.000666667,0.000333333,0.0,0.0,0.000333333,0.0406667,0.104333,0.127333,0.200667,0.149667,0.135667,0.134333,0.0603333,0.0266667,0.0203333,0.0623333,0.124667,0.147667,0.205333,0.224667,0.138,0.0543333,0.0236667,0.0143333,0.005,0.0343333,0.0906667,0.152667,0.184667,0.198,0.165333,0.102,0.044,0.0236667,0.00466667,0.00666667,0.063,0.16,0.201667,0.079,0.0656667,0.175,0.174667,0.0653333,0.009,No,115,-1.5157598235973098,-5.367815833461022
Chair,-0.056827955,1.211046458,-0.479690075,0.222770816,-0.664827674,0.99,0.008,0.001,0.000333333,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.012,0.0603333,0.0833333,0.158667,0.191333,0.160333,0.123,0.0973333,0.0666667,0.047,0.0503333,0.104,0.148667,0.196,0.209333,0.136333,0.084,0.0493333,0.0163333,0.00566667,0.0323333,0.089,0.160333,0.195333,0.196,0.157,0.0973333,0.0536667,0.0153333,0.00366667,0.00566667,0.0726667,0.154667,0.192333,0.0683333,0.0463333,0.179667,0.187667,0.0836667,0.009,No,116,-3.490058433300122,-4.323024082301832
Chair,-0.090356201,3.843812593,-0.581138291,-0.080507255,-0.704198466,0.994333,0.00333333,0.000666667,0.000333333,0.0,0.0,0.000333333,0.0,0.000333333,0.000666667,0.0216667,0.0473333,0.0916667,0.133,0.196667,0.159333,0.131667,0.0986667,0.0923333,0.0276667,0.0503333,0.106333,0.137333,0.183333,0.228,0.160333,0.0803333,0.0286667,0.0206667,0.00466667,0.0206667,0.0796667,0.125,0.157667,0.192333,0.184333,0.138667,0.0696667,0.024,0.008,0.0163333,0.0893333,0.176,0.158,0.0643333,0.074,0.158333,0.164333,0.0836667,0.0156667,No,117,-4.127917080578461,-4.352424901971467
Chair,-0.57055324,0.774101625,-0.599295276,0.232863052,-0.573311898,0.969667,0.027,0.00233333,0.000666667,0.0,0.0,0.0,0.0,0.0,0.000333333,0.04,0.11,0.154,0.128667,0.135667,0.124333,0.0996667,0.109,0.0763333,0.0223333,0.0723333,0.135,0.149667,0.185667,0.174667,0.138667,0.0766667,0.041,0.0193333,0.007,0.03,0.105667,0.155,0.193,0.190333,0.16,0.0976667,0.0426667,0.019,0.00666667,0.0123333,0.0683333,0.174667,0.191667,0.056,0.0823333,0.201333,0.155,0.0506667,0.00766667,No,118,-2.452305273368354,-4.462696292937875
Chair,-0.285325584,1.188051839,-0.552281324,0.090166504,-0.728146203,0.992667,0.00466667,0.00133333,0.000333333,0.000333333,0.0,0.000333333,0.0,0.0,0.000333333,0.0226667,0.0663333,0.109333,0.159,0.223333,0.144667,0.0776667,0.085,0.0856667,0.0263333,0.055,0.105667,0.131667,0.200667,0.228,0.163333,0.066,0.0253333,0.0136667,0.0106667,0.0386667,0.113333,0.164667,0.184667,0.189333,0.163333,0.0923333,0.036,0.013,0.00466667,0.019,0.076,0.167667,0.184667,0.05,0.074,0.184333,0.152333,0.081,0.011,No,119,-3.1840149581855033,-4.08102858555083
Chair,-0.377567465,1.182940429,-0.556805253,-0.285417965,-0.591106874,0.995333,0.004,0.0,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0273333,0.0733333,0.123667,0.190667,0.147667,0.125333,0.0993333,0.0996667,0.0766667,0.0363333,0.0466667,0.113333,0.160667,0.237333,0.205333,0.124,0.045,0.0376667,0.022,0.008,0.0256667,0.0843333,0.151333,0.179667,0.193,0.173333,0.104,0.061,0.0203333,0.00733333,0.013,0.085,0.182667,0.166667,0.0453333,0.0523333,0.174,0.171667,0.0893333,0.02,No,120,-3.3419752722584466,-4.5583754969263826
Octopus,-0.709653917,-0.190892194,-0.576058667,-0.575154555,-0.511118567,0.960667,0.0303333,0.004,0.00166667,0.001,0.001,0.000333333,0.000333333,0.000333333,0.000333333,0.024,0.0903333,0.17,0.232667,0.139,0.110333,0.088,0.0483333,0.0483333,0.049,0.052,0.154667,0.233667,0.213333,0.157333,0.109,0.0506667,0.0193333,0.00733333,0.00266667,0.0286667,0.110667,0.180333,0.208,0.195,0.137333,0.0806667,0.0406667,0.0146667,0.004,0.012,0.0543333,0.152333,0.211667,0.072,0.062,0.215333,0.15,0.0563333,0.014,No,121,1.8168049695304997,-4.778328623174278
Octopus,-0.56254391,-0.024838631,-0.556447257,-0.025447083,-0.501367982,0.979,0.0156667,0.00333333,0.000333333,0.001,0.000333333,0.0,0.0,0.0,0.000333333,0.0313333,0.127,0.161,0.189667,0.111333,0.0903333,0.0996667,0.0763333,0.0686667,0.0446667,0.0573333,0.129667,0.233,0.220333,0.159333,0.116333,0.0476667,0.025,0.009,0.00233333,0.0646667,0.172333,0.219667,0.205333,0.171333,0.0973333,0.0476667,0.0136667,0.006,0.002,0.002,0.025,0.108333,0.246333,0.107,0.064,0.235667,0.161,0.0443333,0.00633333,No,122,7.773749291646822,-1.8027212025627626
Octopus,0.287219831,-0.416729076,-0.0901602,-0.250797764,-0.757228503,0.988,0.00866667,0.00133333,0.00133333,0.000333333,0.0,0.0,0.0,0.0,0.000333333,0.086,0.146333,0.207333,0.133,0.122667,0.0993333,0.106667,0.0676667,0.0213333,0.00966667,0.0356667,0.0623333,0.153,0.178,0.183,0.140667,0.114,0.0723333,0.0453333,0.0156667,0.0316667,0.100667,0.213,0.232667,0.199333,0.128,0.0596667,0.0263333,0.006,0.00266667,0.0153333,0.0893333,0.207,0.164333,0.0286667,0.0836667,0.21,0.149,0.0496667,0.003,No,123,0.7433110399435271,-1.2401376252077285
Octopus,-1.121686218,-2.81e-05,-0.723911351,0.292649967,-0.593646801,0.971333,0.0216667,0.003,0.001,0.000666667,0.000333333,0.00133333,0.0,0.000333333,0.000333333,0.0493333,0.195333,0.248,0.104,0.108333,0.104,0.0593333,0.0513333,0.0506667,0.0296667,0.0733333,0.178667,0.187333,0.198333,0.166,0.11,0.0503333,0.0176667,0.013,0.00533333,0.0693333,0.203667,0.233667,0.215,0.152,0.076,0.0333333,0.015,0.00133333,0.000666667,0.00366667,0.025,0.111667,0.204333,0.148333,0.084,0.229333,0.146,0.0376667,0.01,No,124,8.128874986169023,-1.7266393941736164
Octopus,-0.410521108,-0.455095587,-0.439072673,-0.177852617,-0.65727471,0.984667,0.011,0.00233333,0.000666667,0.000333333,0.000333333,0.000333333,0.0,0.0,0.000333333,0.0346667,0.0606667,0.0956667,0.076,0.084,0.109,0.109333,0.121667,0.175,0.134,0.048,0.0793333,0.132667,0.153,0.18,0.154333,0.108667,0.0853333,0.0416667,0.017,0.041,0.137333,0.173333,0.192,0.18,0.136,0.0733333,0.041,0.0203333,0.00566667,0.01,0.052,0.166,0.209333,0.0533333,0.145667,0.222333,0.109667,0.0263333,0.00533333,No,125,-9.412491748517178,-6.042830803821734
Octopus,-0.771451213,0.587851268,-0.665558902,-0.214516815,-0.528595932,0.957667,0.0293333,0.00666667,0.00366667,0.00133333,0.000333333,0.000666667,0.0,0.0,0.000333333,0.0516667,0.147333,0.139667,0.082,0.104,0.119333,0.112333,0.124667,0.092,0.027,0.041,0.123333,0.173333,0.199667,0.187333,0.133333,0.0726667,0.0446667,0.019,0.00566667,0.0306667,0.131333,0.214667,0.225,0.180333,0.116333,0.064,0.0256667,0.00966667,0.00233333,0.00633333,0.052,0.158333,0.219333,0.0606667,0.103667,0.235667,0.122,0.0383333,0.00366667,No,126,3.474555181037963,-5.3258763777647715
Octopus,-0.065289009,-0.147579721,-0.354708523,-0.044609556,-0.677630916,0.949,0.0376667,0.00633333,0.00366667,0.00133333,0.000666667,0.000333333,0.000666667,0.0,0.000333333,0.0666667,0.134333,0.171,0.153,0.0976667,0.108,0.101333,0.0856667,0.0583333,0.024,0.0323333,0.091,0.157667,0.209333,0.187667,0.143,0.103667,0.0476667,0.021,0.00666667,0.0236667,0.0886667,0.157333,0.21,0.214,0.141667,0.0956667,0.048,0.0146667,0.00633333,0.0113333,0.0563333,0.165333,0.197667,0.061,0.0503333,0.203,0.184333,0.0583333,0.0123333,No,127,0.6392438170898582,-4.811954796665798
Octopus,-0.78909421,0.078021766,-0.634938849,-0.700988127,-0.384113061,0.969667,0.0183333,0.00633333,0.003,0.00133333,0.000666667,0.0,0.0,0.0,0.000666667,0.046,0.138333,0.226333,0.151,0.116667,0.127333,0.0883333,0.0646667,0.0246667,0.0166667,0.0596667,0.140333,0.221667,0.217333,0.164,0.1,0.0546667,0.026,0.0116667,0.00466667,0.0456667,0.139667,0.200333,0.224333,0.192667,0.118333,0.0473333,0.021,0.009,0.00166667,0.008,0.0733333,0.189,0.208,0.053,0.045,0.185333,0.158333,0.0696667,0.0103333,No,128,1.8983174939442826,-4.6592388482062015
Octopus,-0.565701299,-0.468633425,-0.479089853,1.311454776,-0.50544513,0.984,0.0113333,0.00166667,0.001,0.00133333,0.000333333,0.0,0.0,0.0,0.000333333,0.144667,0.337333,0.0826667,0.0646667,0.0716667,0.059,0.0703333,0.0643333,0.069,0.0363333,0.0483333,0.143,0.227667,0.213333,0.153667,0.116,0.0553333,0.0266667,0.0113333,0.00466667,0.0373333,0.132333,0.242,0.229333,0.179667,0.091,0.057,0.0216667,0.008,0.00166667,0.006,0.0516667,0.173,0.205667,0.064,0.0386667,0.196333,0.185,0.0703333,0.00933333,No,129,2.4187318932593884,-3.230326699474627
Octopus,-0.616986058,-0.431016811,-0.525550959,0.47469346,-0.579519853,0.897667,0.0723333,0.017,0.00666667,0.00233333,0.00233333,0.000333333,0.0,0.000666667,0.000666667,0.139667,0.240333,0.172,0.0826667,0.075,0.0713333,0.0693333,0.0593333,0.056,0.0343333,0.057,0.150667,0.238667,0.215,0.161667,0.0946667,0.0506667,0.0236667,0.00633333,0.00166667,0.028,0.12,0.220333,0.246333,0.184667,0.115,0.0543333,0.021,0.009,0.00133333,0.00766667,0.0596667,0.170333,0.207333,0.045,0.0663333,0.214333,0.172333,0.0503333,0.00666667,No,130,1.9783789328806507,-7.130045007517655
Octopus,0.088578139,-0.273338562,-0.275717874,0.546616608,-0.661434166,0.985333,0.011,0.00166667,0.0,0.00133333,0.000333333,0.0,0.0,0.0,0.000333333,0.0163333,0.0483333,0.140333,0.164667,0.179,0.142333,0.178333,0.0656667,0.0366667,0.0283333,0.0296667,0.079,0.157,0.185,0.183333,0.147667,0.112,0.0633333,0.0333333,0.00966667,0.0323333,0.109667,0.186333,0.250667,0.213333,0.133333,0.053,0.016,0.00433333,0.001,0.00133333,0.019,0.125,0.212,0.120333,0.039,0.21,0.21,0.0576667,0.00566667,No,131,3.0110912729118806,-1.6643015268276558
Octopus,-0.583587712,-0.555628947,-0.366037937,-0.588312787,-0.317053878,0.946667,0.0423333,0.00533333,0.003,0.000666667,0.000333333,0.000333333,0.000333333,0.000666667,0.000333333,0.029,0.0906667,0.168667,0.122,0.120333,0.113667,0.101667,0.107667,0.089,0.0573333,0.033,0.137333,0.255,0.185,0.137667,0.0906667,0.0756667,0.048,0.03,0.00766667,0.014,0.057,0.100667,0.177,0.192667,0.188667,0.142667,0.0853333,0.0353333,0.00666667,0.019,0.107667,0.170333,0.134333,0.0473333,0.0193333,0.106667,0.182333,0.166333,0.0466667,No,132,-2.3167754910776783,6.754718638284898
Octopus,-0.306919413,-0.39027484,-0.368458417,-0.724110844,-0.663654544,0.990333,0.00666667,0.002,0.000666667,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0256667,0.099,0.196667,0.18,0.164667,0.174,0.0896667,0.0453333,0.0123333,0.0126667,0.033,0.101333,0.190667,0.209667,0.172667,0.141333,0.0896667,0.048,0.0103333,0.00333333,0.0223333,0.101667,0.192,0.253,0.221,0.127,0.0543333,0.023,0.004,0.00166667,0.007,0.05,0.162,0.219,0.0786667,0.0326667,0.185333,0.178333,0.071,0.016,No,133,2.436381195358103,-1.6553234695677372
Octopus,-0.092919093,-0.011441356,-0.375855219,-0.026341331,-0.730240698,0.955,0.0356667,0.00533333,0.00266667,0.0,0.000333333,0.000333333,0.0,0.000333333,0.000333333,0.012,0.0616667,0.125,0.168667,0.205667,0.153333,0.108,0.0956667,0.0456667,0.0243333,0.0336667,0.0786667,0.159333,0.218,0.211333,0.142,0.094,0.0396667,0.0173333,0.006,0.0126667,0.079,0.170333,0.219,0.217,0.167,0.0853333,0.039,0.00866667,0.002,0.006,0.0523333,0.184,0.207333,0.059,0.0426667,0.191667,0.175333,0.0703333,0.0113333,No,134,-0.8739000192127604,-3.5910147090151416
Octopus,0.476756819,0.360891221,-0.25057979,-0.007051109,-0.764700611,0.987333,0.009,0.00166667,0.000666667,0.000666667,0.000333333,0.0,0.0,0.0,0.000333333,0.014,0.0286667,0.065,0.131667,0.218333,0.257333,0.150333,0.0753333,0.0403333,0.019,0.0263333,0.051,0.115,0.143,0.176,0.178,0.157,0.097,0.0453333,0.0113333,0.0156667,0.0666667,0.097,0.159333,0.175333,0.19,0.153333,0.092,0.041,0.00966667,0.00833333,0.076,0.168667,0.18,0.051,0.0416667,0.179,0.190333,0.093,0.012,No,135,-7.1913962551019965,-2.34795355934525
